,0
0,6
1,3
2,1
3,4
4,3
5,2
6,1
7,4
8,7
9,2
10,4
11,3
12,16
13,8
14,9
15,20
16,14
17,35
18,18
19,12
20,7
21,9
22,14
23,14
24,13
25,26
26,55
27,60
28,62
29,48
30,59
31,54
32,44
33,32
34,29
35,15
36,5
37,5
38,4
39,4
40,1
41,2
42,3
44,1
46,18
47,10
48,10
49,10
50,2
51,5
52,6
53,6
54,7
55,6
56,12
57,4
58,5
59,5
60,6
61,9
62,6
63,6
64,5
65,5
66,5
67,7
68,5
69,9
70,8
71,8
72,8
73,9
74,7
75,12
76,14
77,16
78,16
79,14
80,17
81,17
82,18
83,18
84,36
85,23
86,13
87,16
88,11
89,13
90,10
91,16
92,17
93,10
94,16
95,14
96,17
97,19
98,21
99,20
100,7
101,8
102,13
103,12
104,12
105,17
106,15
107,17
108,17
109,16
110,12
111,13
112,11
113,6
114,14
115,11
116,14
117,13
118,13
119,19
120,16
121,14
122,17
123,14
124,17
125,15
126,26
127,20
128,14
129,9
130,15
131,13
132,14
133,15
134,15
135,14
136,11
137,13
138,21
139,31
